district_id,state_name,district_name,malnutrition_index_pc1,z_malnutrition_index_pc1
360,Maharashtra,Buldhana,3.18528146546877,2.0593738924790497
361,Maharashtra,Chandrapur,3.1195824179415026,2.0168976137874637
362,Maharashtra,Chhatrapati Sambhajinagar,1.4102676977438882,0.911777659093899
363,Maharashtra,Dharashiv,0.2594492209086866,0.16774120521394698
364,Maharashtra,Dhule,2.983138342354314,1.9286826883267585
365,Maharashtra,Gadchiroli,1.693066048778347,1.094614732448351
366,Maharashtra,Gondia,1.3525377402872536,0.8744536208608685
367,Maharashtra,Hingoli,1.5623754156731655,1.0101195690770475
368,Maharashtra,Jalgaon,2.1434268173946087,1.3857856129936392
369,Maharashtra,Jalna,1.1964788592452402,0.7735571729985699
370,Maharashtra,Kolhapur,0.36657677742756023,0.23700217805157806
371,Maharashtra,Latur,0.5703499321011032,0.3687472433690732
372,Maharashtra,Mumbai,0.3331211719188111,0.21537218984215092
373,Maharashtra,Nagpur,1.2306796691708124,0.7956689567846839
374,Maharashtra,Nanded,0.8638155154864884,0.558480981915175
375,Maharashtra,Nandurbar,3.7814942985882256,2.4448422274434387
376,Maharashtra,Nashik,2.1394611980952707,1.3832217287840012
