district_id,state_name,district_name,z_malnutrition_index_pc1,z_improved_sanitation_pct,z_women_10plus_schooling_pct,z_institutional_deliveries_pct,z_hjg_villages_reported_ratio,cluster,pca1,pca2
195,Haryana,Palwal,-0.7365195467766151,0.5899484027233272,-0.05913492006647215,-1.1808765427588062,1.2457375286371022,1,0.8757841272017984,-1.6299321075986326
196,Haryana,Panchkula,-1.44092196095762,0.7512091991460449,1.4185953107250318,0.544387206257578,1.2457375286371022,0,2.3351088943565697,0.156766383692658
197,Haryana,Panipat,-1.001525412351782,0.5198350129743193,0.8388159857254947,0.487821181699663,1.2457375286371022,0,1.6279971374344262,0.05987990302331662
198,Haryana,Rewari,-0.9807275432625951,1.0176400801922754,1.3054676375543908,0.5820978892961867,1.2457375286371022,0,2.173110111585476,0.1847955703777629
199,Haryana,Rohtak,-0.54619686645097,1.2700482832887032,1.1074942095057678,0.5538148770172299,1.2457375286371022,0,1.9644381127469743,0.13273157942024819
200,Haryana,Sirsa,-0.7634242551084142,0.7021298263217403,0.315600497311278,0.5726702185365349,1.2457375286371022,0,1.3178703867820447,0.022216110190359996
201,Haryana,Sonipat,-1.4429773714630871,1.0386740971169777,1.1711285256642536,0.5820978892961867,1.2457375286371022,0,2.369403678107714,0.0950775432376467
202,Haryana,Yamunanagar,-0.6398212668032465,0.8143112499201524,0.775181669567009,0.506676523218968,1.2457375286371022,0,1.563224342852116,0.06617282512145214
203,Himachal Pradesh,Bilaspur,-0.1497836920754356,0.6250050975978311,1.6943440140784707,-0.02127303932156402,1.2457375286371022,0,1.6427709317844883,-0.11750315608566225
204,Himachal Pradesh,Chamba,-0.3773394579590062,1.0246514191671758,0.7539702308475134,-3.085266036208584,1.2457375286371022,1,1.211829860262257,-3.1844142660965775
205,Himachal Pradesh,Hamirpur,-0.9470930133707843,0.954538029418168,2.535731083285116,0.544387206257578,1.2457375286371022,0,2.797054428633415,0.44185760360672116
206,Himachal Pradesh,Kangra,-0.2933236755045388,0.09915467448027247,2.097361349748881,0.4123998156224443,1.2457375286371022,0,1.6789777660160068,0.4207722465224529
207,Himachal Pradesh,Kinnaur,-0.6245428200125224,0.5759257247735254,1.1216351686520982,-0.8509080661709734,1.2457375286371022,0,1.4892262801736895,-1.0486954198813503
208,Himachal Pradesh,Kullu,0.00854329748303272,0.6530504534974346,1.0014370159082915,-0.08726673463913086,1.2457375286371022,0,1.1801649860178625,-0.3185167198892983
209,Himachal Pradesh,Lahul And Spiti,-0.21195607533648872,-0.7141606466082178,1.1074942095057678,-0.4926565773041824,1.2457375286371022,0,0.5317254949955408,-0.5000014273799818
210,Himachal Pradesh,Mandi,-0.6480475161151487,1.0597081140416797,2.2317004616390173,-0.14383275919704586,1.2457375286371022,0,2.461805972101521,-0.22739459632850262
211,Himachal Pradesh,Shimla,-1.126986699821925,1.0807421309663818,2.0832203906025506,0.3086954372662688,1.2457375286371022,0,2.6992858048128725,0.08695914754236936
